panel,kx_rhoi,code,t_vti_over_a,response
a,0.05,stella,290.5,-0.30923573200992555
a,0.05,stella,294.0,-0.3120496277915633
a,0.05,stella,297.5,-0.31437965260545914
a,0.05,stella,301.0,-0.3158163771712159
a,0.05,stella,304.5,-0.3186302729528536
a,0.05,stella,308.0,-0.3194789081885856
a,0.05,stella,311.5,-0.31789330024813894
a,0.05,stella,315.0,-0.3137468982630274
a,0.05,stella,318.5,-0.3109330024813895
a,0.05,stella,322.0,-0.30709181141439207
a,0.05,stella,325.5,-0.30264168734491326
a,0.05,stella,329.0,-0.2978580645161291
a,0.05,stella,332.5,-0.29307444168734503
a,0.05,stella,336.0,-0.2882908188585609
a,0.05,stella,339.5,-0.2835071960297768
a,0.05,stella,343.0,-0.27872357320099267
a,0.05,stella,346.5,-0.2739399503722086
a,0.05,stella,350.0,-0.27183622828784115
a,0.05,stella,353.5,-0.2691042183622827
a,0.05,stella,357.0,-0.265091811414392
a,0.05,stella,360.5,-0.26227791563275427
a,0.05,stella,364.0,-0.26410918114143916
a,0.05,stella,367.5,-0.2648014888337469
a,0.05,stella,371.0,-0.2631414392059554
a,0.05,stella,374.5,-0.2603275434243177
a,0.05,stella,378.0,-0.25751364764267987
a,0.05,stella,381.5,-0.25169230769230755
a,0.05,stella,385.0,-0.24295285359801477
a,0.05,stella,388.5,-0.2331042183622827
a,0.05,stella,392.0,-0.22450620347394526
a,0.05,stella,395.5,-0.2128784119106699
a,0.05,stella,399.0,-0.19846650124069487
a,0.05,stella,402.5,-0.1829900744416874
a,0.05,stella,406.0,-0.1713995037220843
a,0.05,stella,409.5,-0.16434987593052097
a,0.05,stella,413.0,-0.15974193548387083
a,0.05,stella,416.5,-0.15411414392059558
a,0.05,stella,420.0,-0.14312655086848622
a,0.05,stella,423.5,-0.13275682382133983
a,0.05,stella,427.0,-0.12247642679900739
a,0.05,stella,430.5,-0.11122084367245655
a,0.05,stella,434.0,-0.09858064516129025
a,0.05,stella,437.5,-0.08405707196029777
a,0.05,stella,441.0,-0.07000992555831265
a,0.05,stella,444.5,-0.05884367245657547
a,0.05,stella,448.0,-0.05321588089330013
a,0.05,stella,451.5,-0.0436873449131513
a,0.05,stella,455.0,-0.03295285359801488
a,0.05,stella,458.5,-0.023037220843672518
a,0.05,stella,462.0,-0.011781637717121547
a,0.05,stella,465.5,-0.0005260545905707772
a,0.05,stella,469.0,0.010163771712158723
a,0.05,stella,472.5,0.020012406947890887
a,0.05,stella,476.0,0.02986104218362283
a,0.05,stella,479.5,0.03970967741935486
a,0.05,stella,483.0,0.04955831265508683
a,0.05,stella,486.5,0.05925062034739442
a,0.05,stella,490.0,0.06769230769230773
a,0.05,stella,493.5,0.07724317617866001
a,0.05,stella,497.0,0.08578163771712148
a,0.05,stella,500.5,0.09321836228287828
a,0.05,stella,504.0,0.1030669975186102
a,0.05,stella,507.5,0.11176178660049628
a,0.05,stella,511.0,0.11950372208436734
a,0.05,stella,514.5,0.12678411910669984
a,0.05,stella,518.0,0.13522580645161306
a,0.05,stella,521.5,0.14246898263027302
a,0.05,stella,525.0,0.1495037220843673
a,0.05,stella,528.5,0.15624813895781642
a,0.05,stella,532.0,0.16187593052109178
a,0.05,stella,535.5,0.16874689826302738
a,0.05,stella,539.0,0.17499255583126558
a,0.05,stella,542.5,0.18062034739454097
a,0.05,stella,546.0,0.18624813895781647
a,0.05,stella,549.5,0.19187593052109175
a,0.05,stella,553.0,0.19666997518610416
a,0.05,stella,556.5,0.20089081885856075
a,0.05,stella,560.0,0.20511166253101734
a,0.05,stella,563.5,0.20933250620347404
a,0.05,stella,567.0,0.21267493796526066
a,0.05,stella,570.5,0.21591315136476436
a,0.05,stella,574.0,0.22013399503722095
a,0.05,stella,577.5,0.2229776674937965
a,0.05,stella,581.0,0.22486848635235732
a,0.05,stella,584.5,0.2267444168734492
a,0.05,stella,588.0,0.22954342431761787
a,0.05,stella,591.5,0.23095037220843673
a,0.05,stella,595.0,0.2313895781637717
a,0.05,stella,598.5,0.2313895781637717
a,0.05,stella,602.0,0.23150868486352358
a,0.05,stella,605.5,0.23432258064516132
a,0.05,stella,609.0,0.23511166253101745
a,0.05,stella,612.5,0.23566997518610427
a,0.05,stella,616.0,0.23697270471464016
a,0.05,stella,619.5,0.23697270471464016
a,0.05,stella,623.0,0.23697270471464016
a,0.05,stella,626.5,0.2363697270471464
a,0.05,stella,630.0,0.23481389578163775
a,0.05,stella,633.5,0.23199999999999998
a,0.05,stella,637.0,0.2280843672456575
a,0.05,stella,640.5,0.22451116625310172
a,0.05,stella,644.0,0.22150372208436722
a,0.05,stella,647.5,0.21728287841191063
a,0.05,stella,651.0,0.21191563275434247
a,0.05,stella,654.5,0.20698014888337468
a,0.05,stella,658.0,0.2025210918114143
a,0.05,stella,661.5,0.19689330024813906
a,0.05,stella,665.0,0.19126550868486353
a,0.05,stella,668.5,0.18563771712158803
a,0.05,stella,672.0,0.18029280397022326
a,0.05,stella,675.5,0.17607196029776664
a,0.05,stella,679.0,0.17061538461538456
a,0.05,stella,682.5,0.16498759305210914
a,0.05,stella,686.0,0.15935980148883364
a,0.05,stella,689.5,0.15373200992555813
a,0.05,stella,693.0,0.14810421836228285
a,0.05,stella,696.5,0.1424764267990075
a,0.05,stella,700.0,0.13647642679900746
a,0.05,stella,703.5,0.12944168734491301
a,0.05,stella,707.0,0.12373200992555834
a,0.05,stella,710.5,0.1181042183622829
a,0.05,stella,714.0,0.11164267990074435
a,0.05,stella,717.5,0.10320099255583133
a,0.05,stella,721.0,0.09749875930521085
a,0.05,stella,724.5,0.09187096774193547
a,0.05,stella,728.0,0.08532009925558315
a,0.05,stella,731.5,0.07689330024813879
a,0.05,stella,735.0,0.07126550868486345
a,0.05,stella,738.5,0.065637717121588
a,0.05,stella,742.0,0.05899751861042169
a,0.05,stella,745.5,0.050660049627791574
a,0.05,stella,749.0,0.045032258064516065
a,0.05,stella,752.5,0.03940446650124073
a,0.05,stella,756.0,0.03267493796526066
a,0.05,stella,759.5,0.024426799007444152
a,0.05,stella,763.0,0.018799007444168805
a,0.05,stella,766.5,0.013171215880893294
a,0.05,stella,770.0,0.006947890818858504
a,0.05,stella,773.5,5.45905707196382e-05
a,0.05,stella,777.0,-0.005573200992555847
a,0.05,stella,780.5,-0.011200992555831355
a,0.05,stella,784.0,-0.017468982630273085
a,0.05,stella,787.5,-0.024317617866005052
a,0.05,stella,791.0,-0.02994540942928057
a,0.05,stella,794.5,-0.035573200992555815
a,0.05,stella,798.0,-0.04120099255583116
a,0.05,stella,801.5,-0.04659801488833744
a,0.05,stella,805.0,-0.05081885856079397
a,0.05,stella,808.5,-0.05622332506203459
a,0.05,stella,812.0,-0.06112158808932991
a,0.05,stella,815.5,-0.06561786600496276
a,0.05,stella,819.0,-0.07124565756823811
a,0.05,stella,822.5,-0.07564516129032257
a,0.05,stella,826.0,-0.07986600496277921
a,0.05,stella,829.5,-0.08408684863523583
a,0.05,stella,833.0,-0.08830769230769253
a,0.05,stella,836.5,-0.09125558312655103
a,0.05,stella,840.0,-0.09488833746898276
a,0.05,stella,843.5,-0.09874441687344922
a,0.05,stella,847.0,-0.10155831265508707
a,0.05,stella,850.5,-0.1043722084367246
a,0.05,stella,854.0,-0.1071861042183622
a,0.05,stella,857.5,-0.10999999999999989
a,0.05,stella,861.0,-0.11281389578163764
a,0.05,stella,864.5,-0.11562779156327548
a,0.05,stella,868.0,-0.11662531017369737
a,0.05,stella,871.5,-0.11753349875930534
a,0.05,stella,875.0,-0.12034739454094301
a,0.05,stella,878.5,-0.12175434243176177
a,0.05,stella,882.0,-0.12125558312655092
a,0.05,stella,885.5,-0.11934987593052121
a,0.05,stella,889.0,-0.11662531017369737
a,0.05,stella,892.5,-0.11662531017369737
a,0.05,stella,896.0,-0.11733782346685583
a,0.05,stella,899.5,-0.11834278624601213
a,0.05,stella,903.0,-0.11934774902516845
a,0.05,stella,906.5,-0.12035271180432476
a,0.05,stella,910.0,-0.12135767458348107
a,0.05,stella,913.5,-0.12236263736263737
a,0.05,stella,917.0,-0.1233676001417937
a,0.05,stella,920.5,-0.12437256292095
a,0.05,stella,924.0,-0.12537752570010632
a,0.05,stella,927.5,-0.1246650124069478
a,0.05,stella,931.0,-0.12185111662531013
a,0.05,stella,934.5,-0.11903722084367245
a,0.05,stella,938.0,-0.11622332506203478
a,0.05,stella,941.5,-0.11340942928039704
a,0.05,stella,945.0,-0.11059553349875925
a,0.05,stella,948.5,-0.10778163771712158
a,0.05,stella,952.0,-0.10379156327543435
a,0.05,stella,955.5,-0.09957071960297774
a,0.05,stella,959.0,-0.09534987593052102
a,0.05,stella,962.5,-0.0911290322580645
a,0.05,stella,966.0,-0.08812903225806441
a,0.05,stella,969.5,-0.08531513647642675
a,0.05,stella,973.0,-0.0825012406947892
a,0.05,stella,976.5,-0.07968734491315153
a,0.05,stella,980.0,-0.07560794044665013
a,0.05,stella,983.5,-0.07219851116625307
a,0.05,stella,987.0,-0.06866997518610422
a,0.05,stella,990.5,-0.06304218362282887
a,0.05,stella,994.0,-0.06003473945409426
a,0.05,stella,997.5,-0.056364764267990045
a,0.05,stella,1001.0,-0.052143920595533494
a,0.05,stella,1004.5,-0.0479230769230769
a,0.05,stella,1008.0,-0.04370223325062047
a,0.05,stella,1011.5,-0.03948138957816394
a,0.05,stella,1015.0,-0.03526054590570733
a,0.05,stella,1018.5,-0.031039702233250695
a,0.05,stella,1022.0,-0.026818858560793937
a,0.05,stella,1025.5,-0.0225980148883374
a,0.05,stella,1029.0,-0.018377171215880936
a,0.05,stella,1032.5,-0.0141563275434244
a,0.05,stella,1036.0,-0.009935483870967703
a,0.05,stella,1039.5,-0.006704714640198549
a,0.05,stella,1043.0,-0.00281885856079413
a,0.05,stella,1046.5,0.002645161290322692
a,0.05,stella,1050.0,0.005459057071960129
a,0.05,stella,1053.5,0.009307692307692239
a,0.05,stella,1057.0,0.013528535980148974
a,0.05,stella,1060.5,0.017749379652605476
a,0.05,stella,1064.0,0.02197022332506209
a,0.05,stella,1067.5,0.026191066997518542
a,0.05,stella,1071.0,0.030411910669975135
a,0.05,stella,1074.5,0.03446153846153856
a,0.05,stella,1078.0,0.037275434243176246
a,0.05,stella,1081.5,0.04121339950372211
a,0.05,stella,1085.0,0.04543424317617862
a,0.05,stella,1088.5,0.049439205955334915
a,0.05,stella,1092.0,0.05225310173697266
a,0.05,stella,1095.5,0.05623573200992554
a,0.05,stella,1099.0,0.05974193548387093
a,0.05,stella,1102.5,0.06255583126550864
a,0.05,stella,1106.0,0.06536972704714637
a,0.05,stella,1109.5,0.06818362282878412
a,0.05,stella,1113.0,0.07023821339950373
a,0.05,stella,1116.5,0.07195037220843677
a,0.05,stella,1120.0,0.07476426799007446
a,0.05,stella,1123.5,0.0775781637717122
a,0.05,stella,1127.0,0.0803920595533499
a,0.05,stella,1130.5,0.08285607940446646
a,0.05,stella,1134.0,0.08426302729528534
a,0.05,stella,1137.5,0.08697270471464025
a,0.05,stella,1141.0,0.08893796526054593
a,0.05,stella,1144.5,0.09034491315136468
a,0.05,stella,1148.0,0.09175186104218354
a,0.05,stella,1151.5,0.09315880893300242
a,0.05,stella,1155.0,0.09277915632754336
a,0.05,stella,1158.5,0.09225062034739442
a,0.05,stella,1162.0,0.0936575682382133
a,0.05,stella,1165.5,0.09228039702233237
a,0.05,stella,1169.0,0.09087344913151355
a,0.05,stella,1172.5,0.09101488833746896
a,0.05,stella,1176.0,0.09411017369727043
a,0.05,stella,1179.5,0.09720545905707191
a,0.05,stella,1183.0,0.10030074441687338
a,0.05,stella,1186.5,0.10339602977667485
a,0.05,stella,1190.0,0.10649131513647632
a,0.05,stella,1193.5,0.10958660049627779
a,0.05,stella,1197.0,0.10939454094292807
a,0.05,stella,1200.5,0.1079875930521092
a,0.05,stella,1204.0,0.10646153846153845
a,0.05,stella,1207.5,0.10364764267990072
a,0.05,stella,1211.0,0.10190570719602976
a,0.05,stella,1214.5,0.1004987593052109
a,0.05,stella,1218.0,0.0989280397022333
a,0.05,stella,1221.5,0.09611414392059547
a,0.05,stella,1225.0,0.09441687344913144
a,0.05,stella,1228.5,0.09234739454094286
a,0.05,stella,1232.0,0.08974193548387098
a,0.05,stella,1235.5,0.0883349875930522
a,0.05,stella,1239.0,0.0857667493796526
a,0.05,stella,1242.5,0.08436724565756826
a,0.05,stella,1246.0,0.08386104218362288
a,0.05,stella,1249.5,0.08104714640198506
a,0.05,stella,1253.0,0.07943920595533503
a,0.05,stella,1256.5,0.07803225806451615
a,0.05,stella,1260.0,0.0763275434243175
a,0.05,stella,1263.5,0.07351364764267998
a,0.05,stella,1267.0,0.07069975186104219
a,0.05,stella,1270.5,0.068682382133995
a,0.05,stella,1274.0,0.06693300248138956
a,0.05,stella,1277.5,0.06411910669975185
a,0.05,stella,1281.0,0.06130521091811416
a,0.05,stella,1284.5,0.05849131513647639
a,0.05,stella,1288.0,0.05567741935483862
a,0.05,stella,1291.5,0.05286352357320102
a,0.05,stella,1295.0,0.05004962779156328
a,0.05,stella,1298.5,0.04723573200992554
a,0.05,stella,1302.0,0.04442183622828784
a,0.05,stella,1305.5,0.041607940446650234
a,0.05,stella,1309.0,0.040178660049627765
a,0.05,stella,1312.5,0.037841191066997515
a,0.05,stella,1316.0,0.0350272952853598
a,0.05,stella,1319.5,0.03221339950372198
a,0.05,stella,1323.0,0.029399503722084372
a,0.05,stella,1326.5,0.026585607940446673
a,0.05,stella,1330.0,0.02429280397022333
a,0.05,stella,1333.5,0.022818858560794006
a,0.05,stella,1337.0,0.02000496277915632
a,0.05,stella,1340.5,0.01719106699751859
a,0.05,stella,1344.0,0.014377171215880905
a,0.05,stella,1347.5,0.011563275434243278
a,0.05,stella,1351.0,0.008749379652605397
a,0.05,stella,1354.5,0.005935483870967725
a,0.05,stella,1358.0,0.003121588089330061
a,0.05,stella,1361.5,0.0003076923076923335
a,0.05,stella,1365.0,-0.0025062034739452713
a,0.05,stella,1368.5,-0.004210918114143943
a,0.05,stella,1372.0,-0.006272952853598138
a,0.05,stella,1375.5,-0.008885856079404482
a,0.05,stella,1379.0,-0.01029280397022327
a,0.05,stella,1382.5,-0.012853598014888341
a,0.05,stella,1386.0,-0.014967741935483905
a,0.05,stella,1389.5,-0.016620347394540914
a,0.05,stella,1393.0,-0.019434243176178655
a,0.05,stella,1396.5,-0.022248138957816282
a,0.05,stella,1400.0,-0.023573200992555776
a,0.05,stella,1403.5,-0.0241538461538461
a,0.05,stella,1407.0,-0.02696774193548401
a,0.05,stella,1410.5,-0.027295285359801635
a,0.05,stella,1414.0,-0.0288734491315138
a,0.05,stella,1417.5,-0.03135235732009933
a,0.05,stella,1421.0,-0.03275930521091812
a,0.05,stella,1424.5,-0.03287841191066998
a,0.05,stella,1428.0,-0.03371215880893299
a,0.05,stella,1431.5,-0.0351191066997518
a,0.05,stella,1435.0,-0.03652605459057069
a,0.05,stella,1438.5,-0.03660049627791562
a,0.05,stella,1442.0,-0.03747890818858556
a,0.05,stella,1445.5,-0.03803722084367232
a,0.05,stella,1449.0,-0.0366302729528536
a,0.05,stella,1452.5,-0.03935483870967755
a,0.05,stella,1456.0,-0.04124565756823831
a,0.05,stella,1459.5,-0.04265260545905707
a,0.05,stella,1463.0,-0.04404466501240689
a,0.05,stella,1466.5,-0.04404466501240689
a,0.05,stella,1470.0,-0.04404466501240689
a,0.05,stella,1473.5,-0.04404466501240689
a,0.05,stella,1477.0,-0.04404466501240689
a,0.05,stella,1480.5,-0.04404466501240689
a,0.05,stella,1484.0,-0.04404466501240689
a,0.05,stella,1487.5,-0.04404466501240689
a,0.05,stella,1491.0,-0.04404466501240689
a,0.05,stella,1494.5,-0.04404466501240689
a,0.05,stella,1498.0,-0.04615880893300239
a,0.05,stella,1501.5,-0.04776674937965253
a,0.05,stella,1505.0,-0.04776674937965253
a,0.05,stella,1508.5,-0.04776674937965253
a,0.05,stella,1512.0,-0.046665012406947905
a,0.05,stella,1515.5,-0.04461042183622834
a,0.05,stella,1519.0,-0.041990074441687404
a,0.05,stella,1522.5,-0.04058312655086862
a,0.05,stella,1526.0,-0.03917617866004961
a,0.05,stella,1529.5,-0.037076923076922966
a,0.05,stella,1533.0,-0.03450124069478897
a,0.05,stella,1536.5,-0.033094292803970186
a,0.05,stella,1540.0,-0.03287841191066998
a,0.05,stella,1543.5,-0.03140446650124075
a,0.05,stella,1547.0,-0.028873449131513705
a,0.05,stella,1550.5,-0.027466501240694986
a,0.05,stella,1554.0,-0.026059553349875853
a,0.05,stella,1557.5,-0.024652605459056922
a,0.05,stella,1561.0,-0.02324565756823819
a,0.05,stella,1564.5,-0.0218387096774194
a,0.05,stella,1568.0,-0.020431761786600524
a,0.05,stella,1571.5,-0.019024813895781655
a,0.05,stella,1575.0,-0.01761786600496279
a,0.05,stella,1578.5,-0.016210918114143904
a,0.05,stella,1582.0,-0.013478908188585563
a,0.05,stella,1585.5,-0.012406947890818865
a,0.05,stella,1589.0,-0.011573200992555897
a,0.05,stella,1592.5,-0.008759305210918155
a,0.05,stella,1596.0,-0.005945409429280412
a,0.05,stella,1599.5,-0.00496277915632759
a,0.05,stella,1603.0,-0.004039702233250747
a,0.05,stella,1606.5,-0.001240694789081953
a,0.05,stella,1610.0,-0.001240694789081953
a,0.05,stella,1613.5,0.0006799007444169585
a,0.05,stella,1617.0,0.0034937965260546985
a,0.05,stella,1620.5,0.006203473945409321
a,0.05,stella,1624.0,0.006203473945409321
a,0.05,stella,1627.5,0.008213399503722055
a,0.05,stella,1631.0,0.00992555831265507
a,0.05,stella,1634.5,0.01011910669975195
a,0.05,stella,1638.0,0.012933002481389639
a,0.05,stella,1641.5,0.01469727047146403
a,0.05,stella,1645.0,0.016104218362282888
a,0.05,stella,1648.5,0.01751116625310182
a,0.05,stella,1652.0,0.01891811414392054
a,0.05,stella,1655.5,0.020325062034739376
a,0.05,stella,1659.0,0.021732009925558255
a,0.05,stella,1662.5,0.023138957816377148
a,0.05,stella,1666.0,0.024545905707196086
a,0.05,stella,1669.5,0.025952853598014983
a,0.05,stella,1673.0,0.02735980148883382
a,0.05,stella,1676.5,0.0287667493796526
a,0.05,stella,1680.0,0.030173697270471315
a,0.05,stella,1683.5,0.03158064516129029
a,0.05,stella,1687.0,0.0329875930521092
a,0.05,stella,1690.5,0.03411910669975182
a,0.05,stella,1694.0,0.03411910669975182
a,0.05,stella,1697.5,0.03411910669975182
a,0.05,stella,1701.0,0.03489330024813895
a,0.05,stella,1704.5,0.03630024813895789
a,0.05,stella,1708.0,0.037707196029776756
a,0.05,stella,1711.5,0.03784119106699757
a,0.05,stella,1715.0,0.039478908188585606
a,0.05,stella,1718.5,0.04156327543424321
a,0.05,stella,1722.0,0.04156327543424321
a,0.05,stella,1725.5,0.04156327543424321
a,0.05,stella,1729.0,0.04156327543424321
a,0.05,stella,1732.5,0.04156327543424321
a,0.05,stella,1736.0,0.04156327543424321
a,0.05,stella,1739.5,0.04428784119106707
a,0.05,stella,1743.0,0.04619354838709683
a,0.05,stella,1746.5,0.04805459057071972
a,0.05,stella,1750.0,0.05086848635235741
a,0.05,stella,1753.5,0.05180645161290331
a,0.05,stella,1757.0,0.05274441687344921
a,0.05,stella,1760.5,0.05368238213399511
a,0.05,stella,1764.0,0.05459057071960305
a,0.05,stella,1767.5,0.05459057071960305
a,0.05,stella,1771.0,0.05359305210918122
a,0.05,stella,1774.5,0.05272952853598012
a,0.05,stella,1778.0,0.052640198511166164
a,0.05,stella,1781.5,0.05123325062034752
a,0.05,stella,1785.0,0.05086848635235741
a,0.05,stella,1788.5,0.04969230769230767
a,0.05,stella,1792.0,0.04714640198511166
a,0.05,stella,1795.5,0.04714640198511166
a,0.05,stella,1799.0,0.04605955334987592
a,0.05,stella,1802.5,0.045285359801488845
a,0.05,stella,1806.0,0.04510669975186108
a,0.05,stella,1809.5,0.04369975186104213
a,0.05,stella,1813.0,0.04229280397022331
a,0.05,stella,1816.5,0.040885856079404474
a,0.05,stella,1820.0,0.0394789081885856
a,0.05,stella,1823.5,0.03807196029776681
a,0.05,stella,1827.0,0.03784119106699757
a,0.05,stella,1830.5,0.03784119106699757
a,0.05,stella,1834.0,0.03730521091811427
a,0.05,stella,1837.5,0.034491315136476304
a,0.05,stella,1841.0,0.03411910669975182
a,0.05,stella,1844.5,0.03335235732009927
a,0.05,stella,1848.0,0.03194540942928033
a,0.05,stella,1851.5,0.030538461538461372
a,0.05,stella,1855.0,0.030397022332506074
a,0.05,stella,1858.5,0.030397022332506074
a,0.05,stella,1862.0,0.029682382133994923
a,0.05,stella,1865.5,0.02686848635235735
a,0.05,stella,1869.0,0.02667493796526066
a,0.05,stella,1872.5,0.025818858560794126
a,0.05,stella,1876.0,0.024411910669975213
a,0.05,stella,1879.5,0.023004962779156413
a,0.05,stella,1883.0,0.02295285359801491
a,0.05,stella,1886.5,0.022052109181141394
a,0.05,stella,1890.0,0.02064516129032246
a,0.05,stella,1893.5,0.01923821339950373
a,0.05,stella,1897.0,0.019230769230769162
a,0.05,stella,1900.5,0.01828535980148877
a,0.05,stella,1904.0,0.01687841191066995
a,0.05,stella,1907.5,0.015508684863523525
a,0.05,stella,1911.0,0.015508684863523525
a,0.05,stella,1914.5,0.013528535980148847
a,0.05,stella,1918.0,0.011786600496277888
a,0.05,stella,1921.5,0.011704714640198486
a,0.05,stella,1925.0,0.010297766749379616
a,0.05,stella,1928.5,0.008890818858560794
a,0.05,stella,1932.0,0.008064516129032251
a,0.05,stella,1935.5,0.008064516129032251
a,0.05,stella,1939.0,0.008064516129032251
a,0.05,stella,1942.5,0.005905707196029752
a,0.05,stella,1946.0,0.004342431761786614
a,0.05,stella,1949.5,0.004342431761786614
a,0.05,stella,1953.0,0.004342431761786614
a,0.05,stella,1956.5,0.0032183622828785147
a,0.05,stella,1960.0,0.0018114143920596112
a,0.05,stella,1963.5,0.0006203473945409765
a,0.05,stella,1967.0,0.0006203473945409765
a,0.05,stella,1970.5,0.0006203473945409765
a,0.05,stella,1974.0,-9.429280397025914e-05
a,0.05,stella,1977.5,-0.0015012406947891705
a,0.05,stella,1981.0,-0.002908188585607889
a,0.05,stella,1984.5,-0.0031017369727046606
a,0.05,stella,1988.0,-0.0031017369727046606
a,0.05,stella,1991.5,-0.003406947890818771
a,0.05,stella,1995.0,-0.004813895781637726
a,0.05,stella,1998.5,-0.006220843672456532
a,0.05,stella,2002.0,-0.006823821339950298
a,0.05,stella,2005.5,-0.006823821339950298
a,0.05,stella,2009.0,-0.006823821339950298
a,0.05,stella,2012.5,-0.006823821339950298
a,0.05,stella,2016.0,-0.006823821339950298
a,0.05,stella,2019.5,-0.006034739454094321
a,0.05,stella,2023.0,-0.0032208436724564405
a,0.05,stella,2026.5,-0.0017543424317618891
a,0.05,stella,2030.0,-0.001240694789081953
a,0.05,stella,2033.5,-0.001240694789081953
a,0.05,stella,2037.0,-0.001240694789081953
a,0.05,stella,2040.5,-0.003229351293867529
a,0.05,stella,2044.0,-0.005239276852180174
a,0.05,stella,2047.5,-0.007249202410492819
a,0.05,stella,2051.0,-0.009259127968805464
a,0.05,stella,2054.5,-0.011269053527118109
a,0.05,stella,2058.0,-0.013278979085430754
a,0.05,stella,2061.5,-0.0152889046437434
a,0.05,stella,2065.0,-0.017298830202056047
a,0.05,stella,2068.5,-0.019308755760368692
a,0.05,stella,2072.0,-0.01985111662531014
a,0.05,stella,2075.5,-0.019277915632754324
a,0.05,stella,2079.0,-0.01787096774193565
a,0.05,stella,2082.5,-0.016464019851116694
a,0.05,stella,2086.0,-0.016129032258064502
a,0.05,stella,2089.5,-0.015511166253101666
a,0.05,stella,2093.0,-0.014267990074441794
a,0.05,stella,2096.5,-0.014267990074441794
a,0.05,stella,2100.0,-0.014267990074441794
a,0.05,stella,2103.5,-0.013605459057072092
a,0.05,stella,2107.0,-0.012406947890818865
a,0.05,stella,2110.5,-0.012406947890818865
a,0.05,stella,2114.0,-0.012406947890818865
a,0.05,stella,2117.5,-0.011699751861042195
